MoveIt! version 65804
Experiment unfurl
Running on ML003
Starting at 2023-Jun-23 13:47:58.866491
<<<|
|>>>
0 is the random seed
30 seconds per run
-1 MB per run
1.58049 seconds spent to collect the data
0 enum types
4 planners
rrtconnect
0 common properties
20 properties for each run
time REAL
success BOOLEAN
correct BOOLEAN
length REAL
machine_hostname VARCHAR(128)
machine_process_id BIGINT
machine_thread_id BIGINT
query_finish_time REAL
query_index INT
query_start_time REAL
query_timeout_trial INT
query_trial INT
request_group_name VARCHAR(128)
request_num_planning_attempts INT
request_planner_id VARCHAR(128)
request_planner_type VARCHAR(128)
robowflex_planner_name VARCHAR(128)
robowflex_robot_name VARCHAR(128)
smoothness REAL
waypoints INT
200 runs
0.00725; 0; 0; 0; ML003; 17722; 140548090627840; 0.0074440000000000001; 0; 0.000194; 0; 1; manipulator; 1; RRTConnectkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006807; 0; 0; 0; ML003; 17722; 140548099020544; 0.46048499999999998; 2; 0.45367800000000003; 0; 25; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011318; 0; 0; 0; ML003; 17722; 140548090627840; 0.46176; 2; 0.45044200000000001; 0; 24; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006767; 0; 0; 0; ML003; 17722; 140548073842432; 0.46274999999999999; 2; 0.45598300000000003; 0; 26; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006585; 0; 0; 0; ML003; 17722; 140548099020544; 0.467115; 2; 0.46052999999999999; 0; 28; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006606; 0; 0; 0; ML003; 17722; 140548073842432; 0.46941100000000002; 2; 0.46280500000000002; 0; 30; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011368; 0; 0; 0; ML003; 17722; 140548082235136; 0.47069299999999997; 2; 0.45932499999999998; 0; 27; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011662; 0; 0; 0; ML003; 17722; 140548090627840; 0.47350500000000001; 2; 0.461843; 0; 29; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006621; 0; 0; 0; ML003; 17722; 140548099020544; 0.47379100000000002; 2; 0.46716999999999997; 0; 31; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007584; 0; 0; 0; ML003; 17722; 140548073842432; 0.477076; 2; 0.46949200000000002; 0; 32; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007126; 0; 0; 0; ML003; 17722; 140548099020544; 0.48097000000000001; 2; 0.47384399999999999; 0; 35; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011487; 0; 0; 0; ML003; 17722; 140548082235136; 0.48227599999999998; 2; 0.47078900000000001; 0; 33; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00663; 0; 0; 0; ML003; 17722; 140548073842432; 0.48378500000000002; 2; 0.477155; 0; 36; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011247; 0; 0; 0; ML003; 17722; 140548090627840; 0.48482500000000001; 2; 0.473578; 0; 34; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006784; 0; 0; 0; ML003; 17722; 140548099020544; 0.487815; 2; 0.48103099999999999; 0; 37; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.0066; 0; 0; 0; ML003; 17722; 140548073842432; 0.49043199999999998; 2; 0.48383199999999998; 0; 39; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011718; 0; 0; 0; ML003; 17722; 140548082235136; 0.49409599999999998; 2; 0.48237799999999997; 0; 38; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006862; 0; 0; 0; ML003; 17722; 140548099020544; 0.49473400000000001; 2; 0.48787199999999997; 0; 41; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011473; 0; 0; 0; ML003; 17722; 140548090627840; 0.49636999999999998; 2; 0.48489700000000002; 0; 40; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006622; 0; 0; 0; ML003; 17722; 140548073842432; 0.49710500000000002; 2; 0.490483; 0; 42; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006441; 0; 0; 0; ML003; 17722; 140548099020544; 0.50123099999999998; 2; 0.49479000000000001; 0; 44; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006669; 0; 0; 0; ML003; 17722; 140548073842432; 0.50382300000000002; 2; 0.49715399999999998; 0; 46; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011286; 0; 0; 0; ML003; 17722; 140548082235136; 0.50548300000000002; 2; 0.494197; 0; 43; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011418; 0; 0; 0; ML003; 17722; 140548090627840; 0.50788199999999994; 2; 0.49646400000000002; 0; 45; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007648; 0; 0; 0; ML003; 17722; 140548099020544; 0.50895299999999999; 2; 0.501305; 0; 47; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007195; 0; 0; 0; ML003; 17722; 140548073842432; 0.51106700000000005; 2; 0.50387199999999999; 0; 48; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006637; 0; 0; 0; ML003; 17722; 140548099020544; 0.51566699999999999; 2; 0.50902999999999998; 0; 51; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011393; 0; 0; 0; ML003; 17722; 140548082235136; 0.51695199999999997; 2; 0.50555899999999998; 0; 49; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00689; 0; 0; 0; ML003; 17722; 140548073842432; 0.51804300000000003; 2; 0.51115299999999997; 0; 52; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011292; 0; 0; 0; ML003; 17722; 140548090627840; 0.51927400000000001; 2; 0.50798200000000004; 0; 50; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006759; 0; 0; 0; ML003; 17722; 140548099020544; 0.52247299999999997; 2; 0.51571400000000001; 0; 53; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006562; 0; 0; 0; ML003; 17722; 140548073842432; 0.52465700000000004; 2; 0.51809499999999997; 0; 55; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011173; 0; 0; 0; ML003; 17722; 140548082235136; 0.52822800000000003; 2; 0.51705500000000004; 0; 54; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006459; 0; 0; 0; ML003; 17722; 140548099020544; 0.52897499999999997; 2; 0.52251599999999998; 0; 57; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011336; 0; 0; 0; ML003; 17722; 140548090627840; 0.53070600000000001; 2; 0.51937; 0; 56; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006468; 0; 0; 0; ML003; 17722; 140548073842432; 0.53120000000000001; 2; 0.52473199999999998; 0; 58; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006722; 0; 0; 0; ML003; 17722; 140548099020544; 0.53573999999999999; 2; 0.52901799999999999; 0; 60; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006824; 0; 0; 0; ML003; 17722; 140548073842432; 0.53809399999999996; 2; 0.53127000000000002; 0; 62; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011678; 0; 0; 0; ML003; 17722; 140548082235136; 0.53998000000000002; 2; 0.52830200000000005; 0; 59; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011153; 0; 0; 0; ML003; 17722; 140548090627840; 0.54194799999999999; 2; 0.53079500000000002; 0; 61; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006762; 0; 0; 0; ML003; 17722; 140548099020544; 0.54254500000000005; 2; 0.53578300000000001; 0; 63; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00683; 0; 0; 0; ML003; 17722; 140548073842432; 0.54500899999999997; 2; 0.53817899999999996; 0; 64; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006729; 0; 0; 0; ML003; 17722; 140548099020544; 0.54935500000000004; 2; 0.54262600000000005; 0; 67; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01152; 0; 0; 0; ML003; 17722; 140548082235136; 0.55157800000000001; 2; 0.54005800000000004; 0; 65; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007678; 0; 0; 0; ML003; 17722; 140548073842432; 0.55274699999999999; 2; 0.54506900000000003; 0; 68; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011347; 0; 0; 0; ML003; 17722; 140548090627840; 0.55338900000000002; 2; 0.54204200000000002; 0; 66; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006682; 0; 0; 0; ML003; 17722; 140548099020544; 0.55615800000000004; 2; 0.54947599999999996; 0; 69; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006812; 0; 0; 0; ML003; 17722; 140548073842432; 0.55965399999999998; 2; 0.55284199999999994; 0; 71; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006732; 0; 0; 0; ML003; 17722; 140548099020544; 0.562971; 2; 0.55623900000000004; 0; 73; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01205; 0; 0; 0; ML003; 17722; 140548082235136; 0.563747; 2; 0.55169699999999999; 0; 70; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011769; 0; 0; 0; ML003; 17722; 140548090627840; 0.56526500000000002; 2; 0.55349599999999999; 0; 72; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006982; 0; 0; 0; ML003; 17722; 140548073842432; 0.56672500000000003; 2; 0.55974299999999999; 0; 74; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006804; 0; 0; 0; ML003; 17722; 140548099020544; 0.56985399999999997; 2; 0.56305000000000005; 0; 75; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007754; 0; 0; 0; ML003; 17722; 140548073842432; 0.57457400000000003; 2; 0.56681999999999999; 0; 78; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01165; 0; 0; 0; ML003; 17722; 140548082235136; 0.57548999999999995; 2; 0.56384000000000001; 0; 76; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011596; 0; 0; 0; ML003; 17722; 140548090627840; 0.57698700000000003; 2; 0.56539099999999998; 0; 77; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007198; 0; 0; 0; ML003; 17722; 140548099020544; 0.57713400000000004; 2; 0.569936; 0; 79; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007022; 0; 0; 0; ML003; 17722; 140548073842432; 0.581704; 2; 0.57468200000000003; 0; 80; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007167; 0; 0; 0; ML003; 17722; 140548099020544; 0.58440899999999996; 2; 0.57724200000000003; 0; 83; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011398; 0; 0; 0; ML003; 17722; 140548082235136; 0.58698399999999995; 2; 0.57558600000000004; 0; 81; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011392; 0; 0; 0; ML003; 17722; 140548090627840; 0.58848599999999995; 2; 0.577094; 0; 82; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006782; 0; 0; 0; ML003; 17722; 140548073842432; 0.58854399999999996; 2; 0.581762; 0; 84; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006698; 0; 0; 0; ML003; 17722; 140548099020544; 0.59117600000000003; 2; 0.58447800000000005; 0; 85; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006876; 0; 0; 0; ML003; 17722; 140548073842432; 0.59553199999999995; 2; 0.58865599999999996; 0; 88; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006414; 0; 0; 0; ML003; 17722; 140548099020544; 0.59763599999999995; 2; 0.59122200000000003; 0; 89; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.01192; 0; 0; 0; ML003; 17722; 140548082235136; 0.59900699999999996; 2; 0.58708700000000003; 0; 86; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.011219; 0; 0; 0; ML003; 17722; 140548090627840; 0.59985200000000005; 2; 0.58863299999999996; 0; 87; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007851; 0; 0; 0; ML003; 17722; 140548073842432; 0.60346999999999995; 2; 0.59561900000000001; 0; 90; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006652; 0; 0; 0; ML003; 17722; 140548099020544; 0.60434900000000003; 2; 0.59769700000000003; 0; 91; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.009728; 0; 0; 0; ML003; 17722; 140548082235136; 0.60882499999999995; 2; 0.59909699999999999; 0; 92; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.009118; 0; 0; 0; ML003; 17722; 140548090627840; 0.60905900000000002; 2; 0.59994099999999995; 0; 93; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006937; 0; 0; 0; ML003; 17722; 140548073842432; 0.61050400000000005; 2; 0.60356699999999996; 0; 94; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006609; 0; 0; 0; ML003; 17722; 140548099020544; 0.611008; 2; 0.60439900000000002; 0; 95; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006665; 0; 0; 0; ML003; 17722; 140548082235136; 0.61554200000000003; 2; 0.608877; 0; 96; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006594; 0; 0; 0; ML003; 17722; 140548090627840; 0.615707; 2; 0.60911300000000002; 0; 97; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006956; 0; 0; 0; ML003; 17722; 140548073842432; 0.61753599999999997; 2; 0.61058000000000001; 0; 98; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007381; 0; 0; 0; ML003; 17722; 140548099020544; 0.61844399999999999; 2; 0.61106300000000002; 0; 99; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006649; 0; 0; 0; ML003; 17722; 140548082235136; 0.62223899999999999; 3; 0.61558999999999997; 0; 0; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00683; 0; 0; 0; ML003; 17722; 140548090627840; 0.62258800000000003; 3; 0.61575800000000003; 0; 1; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006833; 0; 0; 0; ML003; 17722; 140548073842432; 0.624417; 3; 0.61758400000000002; 0; 2; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006691; 0; 0; 0; ML003; 17722; 140548099020544; 0.62519199999999997; 3; 0.61850099999999997; 0; 3; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006555; 0; 0; 0; ML003; 17722; 140548082235136; 0.62883999999999995; 3; 0.62228499999999998; 0; 4; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006794; 0; 0; 0; ML003; 17722; 140548090627840; 0.62942699999999996; 3; 0.62263299999999999; 0; 5; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006537; 0; 0; 0; ML003; 17722; 140548099020544; 0.63178299999999998; 3; 0.62524599999999997; 0; 7; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007501; 0; 0; 0; ML003; 17722; 140548073842432; 0.63198699999999997; 3; 0.62448599999999999; 0; 6; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00702; 0; 0; 0; ML003; 17722; 140548082235136; 0.635907; 3; 0.62888699999999997; 0; 8; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007846; 0; 0; 0; ML003; 17722; 140548090627840; 0.63731700000000002; 3; 0.629471; 0; 9; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007192; 0; 0; 0; ML003; 17722; 140548099020544; 0.63903200000000004; 3; 0.63183999999999996; 0; 10; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007747; 0; 0; 0; ML003; 17722; 140548073842432; 0.63980099999999995; 3; 0.632054; 0; 11; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006731; 0; 0; 0; ML003; 17722; 140548082235136; 0.64270300000000002; 3; 0.63597199999999998; 0; 12; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007195; 0; 0; 0; ML003; 17722; 140548090627840; 0.64456599999999997; 3; 0.63737100000000002; 0; 13; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006868; 0; 0; 0; ML003; 17722; 140548099020544; 0.64596299999999995; 3; 0.63909499999999997; 0; 14; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00692; 0; 0; 0; ML003; 17722; 140548073842432; 0.64679200000000003; 3; 0.639872; 0; 15; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007026; 0; 0; 0; ML003; 17722; 140548082235136; 0.64978899999999995; 3; 0.64276299999999997; 0; 16; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00704; 0; 0; 0; ML003; 17722; 140548090627840; 0.65165600000000001; 3; 0.64461599999999997; 0; 17; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006971; 0; 0; 0; ML003; 17722; 140548099020544; 0.65298999999999996; 3; 0.64601900000000001; 0; 18; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006908; 0; 0; 0; ML003; 17722; 140548073842432; 0.65376800000000002; 3; 0.64685999999999999; 0; 19; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006608; 0; 0; 0; ML003; 17722; 140548082235136; 0.65647299999999997; 3; 0.64986500000000003; 0; 20; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00666; 0; 0; 0; ML003; 17722; 140548090627840; 0.65836099999999997; 3; 0.65170099999999997; 0; 21; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00698; 0; 0; 0; ML003; 17722; 140548099020544; 0.66002499999999997; 3; 0.65304499999999999; 0; 22; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006807; 0; 0; 0; ML003; 17722; 140548073842432; 0.66064500000000004; 3; 0.65383800000000003; 0; 23; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00677; 0; 0; 0; ML003; 17722; 140548082235136; 0.66329000000000005; 3; 0.65651999999999999; 0; 24; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00733; 0; 0; 0; ML003; 17722; 140548090627840; 0.66574699999999998; 3; 0.65841700000000003; 0; 25; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007473; 0; 0; 0; ML003; 17722; 140548099020544; 0.66755100000000001; 3; 0.66007800000000005; 0; 26; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.008043; 0; 0; 0; ML003; 17722; 140548073842432; 0.66875399999999996; 3; 0.66071100000000005; 0; 27; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00732; 0; 0; 0; ML003; 17722; 140548082235136; 0.67067299999999996; 3; 0.66335299999999997; 0; 28; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007207; 0; 0; 0; ML003; 17722; 140548090627840; 0.67303500000000005; 3; 0.66582799999999998; 0; 29; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006704; 0; 0; 0; ML003; 17722; 140548099020544; 0.67432099999999995; 3; 0.66761700000000002; 0; 30; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006751; 0; 0; 0; ML003; 17722; 140548073842432; 0.67557999999999996; 3; 0.66882900000000001; 0; 31; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006574; 0; 0; 0; ML003; 17722; 140548082235136; 0.67729499999999998; 3; 0.67072100000000001; 0; 32; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006679; 0; 0; 0; ML003; 17722; 140548090627840; 0.67976499999999995; 3; 0.67308599999999996; 0; 33; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.007229; 0; 0; 0; ML003; 17722; 140548099020544; 0.68161000000000005; 3; 0.67438100000000001; 0; 34; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006788; 0; 0; 0; ML003; 17722; 140548073842432; 0.68243699999999996; 3; 0.67564900000000006; 0; 35; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006887; 0; 0; 0; ML003; 17722; 140548082235136; 0.68422499999999997; 3; 0.677338; 0; 36; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006751; 0; 0; 0; ML003; 17722; 140548090627840; 0.68656700000000004; 3; 0.67981599999999998; 0; 37; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.006494; 0; 0; 0; ML003; 17722; 140548099020544; 0.68815800000000005; 3; 0.68166400000000005; 0; 38; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
0.00647; 0; 0; 0; ML003; 17722; 140548073842432; 0.68897399999999998; 3; 0.682504; 0; 39; manipulator; 1; RRTkConfigDefault; robowflex::OMPL::UR5OMPLPipelinePlanner; ; ur5; 0; 0; 
